period,age,value,measure,unit_type,source,details,prior_age,ldf,weight,interval
2008,15,8004546.62,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,,,,
2008,27,14115917.59,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,15,1.7635,8004546.62,15-27
2008,39,20492746.2,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,27,1.4517,14115917.59,27-39
2008,51,21107628.18,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,39,1.03,20492746.2,39-51
2008,63,20596266.94,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,51,0.9758,21107628.18,51-63
2008,75,19411823.71,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,63,0.9425,20596266.94,63-75
2008,87,19108550.69,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,75,0.9844,19411823.71,75-87
2008,99,19097128.72,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,87,0.9994,19108550.69,87-99
2008,111,19019593.54,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,99,0.9959,19097128.72,99-111
2008,123,19019593.54,Incurred Loss,Dollars,C:\Users\super\Documents\actuarial\cas-rfp\spec-only\claude-code\demo\demo2-make-selections\output\chain-ladder\scripts\..\..\..\data\Claude Agent Triangles 5 Demo Data.xlsx - Sheet: Inc,Demo data - Inc sheet,111,1.0,19019593.54,111-123
