period,age,reported_claims,incurred_severity,paid_to_incurred,incremental_incurred_severity
2008,15,16676.0,480.004,0.3013,480.004
2008,27,16841.0,838.1876,0.3698,37038.6119
2008,39,16882.0,1213.8814,0.5478,155532.4051
2008,51,16890.0,1249.7116,0.7246,76860.2475
2008,63,16892.0,1219.2912,0.8489,-255680.62
2008,75,16893.0,1149.1046,0.9481,-1184443.23
2008,87,16893.0,1131.152,0.9927,
2008,99,16894.0,1130.4089,0.994,-11421.97
2008,111,16894.0,1125.8194,1.0,
2008,123,16894.0,1125.8194,1.0,0.0
2008,135,16894.0,1125.8194,1.0,0.0
2008,147,16894.0,1125.9378,1.0,
2008,159,16894.0,1125.9378,1.0,0.0
2008,171,16894.0,1125.9378,1.0,0.0
2008,183,16894.0,1125.9378,1.0,0.0
2008,195,16894.0,1125.9378,1.0,0.0
2008,207,16894.0,1125.9378,1.0,0.0
2008,219,16894.0,1125.9378,1.0,0.0
2009,15,17605.0,426.5656,0.2871,426.5656
2009,27,17721.0,938.5917,0.288,78647.379
2009,39,17743.0,1185.1789,0.4608,199811.1936
2009,51,17755.0,1123.2777,0.7138,-90402.8558
2009,63,17757.0,1304.4564,0.7271,1609718.53
2009,75,17757.0,1289.873,0.9681,
2009,87,17757.0,1279.6689,0.9791,
2009,99,17757.0,1279.1409,0.981,
2009,111,17757.0,1279.109,0.9832,
2009,123,17757.0,1272.7771,0.9998,
2009,135,17757.0,1272.9473,0.9997,
2009,147,17757.0,1272.9473,0.9997,0.0
2009,159,17757.0,1273.1022,0.9996,
2009,171,17757.0,1273.9469,0.9989,
2009,183,17757.0,1273.6664,1.0,
2009,195,17757.0,1273.6664,1.0,0.0
2009,207,17757.0,1273.6664,1.0,0.0
2010,15,17442.0,710.5176,0.1935,710.5176
2010,27,17530.0,1322.4645,0.2143,122613.1366
2010,39,17566.0,1397.7275,0.4904,38046.6136
2010,51,17573.0,1263.565,0.7918,-335407.8229
2010,63,17576.0,1212.7264,0.9174,-296582.53
2010,75,17577.0,1201.9635,0.9653,-187967.33
2010,87,17578.0,1190.4505,0.992,-201172.85
2010,99,17578.0,1185.2388,1.0,
2010,111,17578.0,1185.8174,1.0,
2010,123,17578.0,1185.8743,1.0,
2010,135,17580.0,1185.7394,1.0,0.0
2010,147,17581.0,1185.672,1.0,0.0
2010,159,17581.0,1185.672,1.0,0.0
2010,171,17581.0,1185.7116,1.0,
2010,183,17581.0,1185.7116,1.0,0.0
2010,195,17581.0,1185.7116,1.0,0.0
2011,15,16452.0,1058.5471,0.2231,1058.5471
2011,27,16582.0,1427.2778,0.3235,48091.5619
2011,39,16619.0,1842.1077,0.4613,187753.1808
2011,51,16630.0,1851.321,0.6628,15771.0036
2011,63,16633.0,1728.0639,0.8306,-681527.07
2011,75,16636.0,1605.5095,0.9516,-677877.0867
2011,87,16636.0,1629.1692,0.9584,
2011,99,16636.0,1671.7352,0.9425,
2011,111,16636.0,1743.309,0.9103,
2011,123,16636.0,1743.9708,0.9437,
2011,135,16636.0,1753.0525,0.9448,
2011,147,16636.0,1751.9085,0.9481,
2011,159,16636.0,1707.1964,1.0,
2011,171,16636.0,1707.1964,1.0,0.0
2011,183,16636.0,1707.1964,1.0,0.0
2012,15,17302.0,925.6327,0.2289,925.6327
2012,27,17466.0,1242.1145,0.3122,34630.9466
2012,39,17495.0,1453.1684,0.5019,128565.8524
2012,51,17508.0,1427.404,0.7154,-33245.5831
2012,63,17510.0,1366.2046,0.8852,-534373.495
2012,75,17510.0,1370.6375,0.9174,
2012,87,17510.0,1349.1221,0.9447,
2012,99,17510.0,1344.7734,0.9714,
2012,111,17510.0,1338.9385,0.9773,
2012,123,17510.0,1340.0231,0.9784,
2012,135,17510.0,1347.4475,0.9996,
2012,147,17510.0,1346.8602,1.0,
2012,159,17510.0,1346.8602,1.0,0.0
2012,171,17510.0,1349.4866,0.9982,
2013,15,19378.0,859.2523,0.2116,859.2523
2013,27,19515.0,1152.7491,0.3477,42666.4807
2013,39,19545.0,1446.9683,0.5176,192836.5573
2013,51,19555.0,1381.9881,0.7511,-125621.895
2013,63,19559.0,1409.8514,0.8247,137626.88
2013,75,19561.0,1362.5901,0.9358,-460829.75
2013,87,19561.0,1320.7683,0.9828,
2013,99,19561.0,1327.6048,0.9794,
2013,111,19561.0,1327.3442,0.9909,
