measure,interval,cv_3yr,cv_5yr,cv_10yr,slope_3yr,slope_5yr,slope_10yr,weighted_all,simple_all,avg_exclude_high_low_all,weighted_3yr,simple_3yr,avg_exclude_high_low_3yr,weighted_5yr,simple_5yr,avg_exclude_high_low_5yr,weighted_10yr,simple_10yr,avg_exclude_high_low_10yr
Incurred Loss,15-27,0.0059,0.0972,0.1186,-0.0114,0.0968,0.0544,1.692,1.6903,1.6779,1.9812,1.9828,1.9851,1.8767,1.8516,1.8724,1.7439,1.7283,1.7362
Incurred Loss,27-39,0.0343,0.0347,0.0671,0.0463,0.0296,0.0261,1.3697,1.3446,1.3513,1.5095,1.5017,1.5275,1.4865,1.477,1.4759,1.4136,1.4015,1.4038
Incurred Loss,39-51,0.0302,0.0379,0.0749,0.0346,0.019,0.0196,1.0619,1.0399,1.0396,1.1516,1.1475,1.1513,1.1314,1.1274,1.13,1.0847,1.0727,1.0776
Incurred Loss,51-63,0.0439,0.0359,0.0457,0.0262,-0.0006,0.0107,1.0352,1.0263,1.0228,1.0548,1.0543,1.0585,1.0657,1.0647,1.0725,1.0431,1.0337,1.0351
Incurred Loss,63-75,0.0179,0.0237,0.0351,-0.0169,-0.0095,0.0069,0.9984,0.9911,0.9912,1.0139,1.0136,1.0211,1.0164,1.018,1.015,1.0019,0.9962,0.9976
Incurred Loss,75-87,0.0181,0.0129,0.0158,0.0019,0.0009,0.0017,0.9995,0.9958,0.9955,1.0065,1.005,0.9964,1.0055,1.0043,1.0011,1.0006,0.9974,0.9973
Incurred Loss,87-99,0.0047,0.0131,0.0121,-0.0011,-0.0022,-0.0003,1.0033,1.0036,1.0023,0.9986,0.9987,1.0002,1.0026,1.0035,0.9993,1.0035,1.0041,1.0026
Incurred Loss,99-111,0.0048,0.0042,0.0145,-0.0039,-0.002,-0.0011,1.0013,1.0024,0.9988,0.9955,0.996,0.9982,0.997,0.9978,0.9991,1.0013,1.0024,0.9988
Incurred Loss,111-123,0.0055,0.0044,0.0035,0.0048,-0.0002,-0.0001,0.9986,0.9986,0.9994,0.9974,0.9968,0.9998,0.9984,0.9984,1.0002,0.9986,0.9986,0.9994
Incurred Loss,123-135,0.0034,0.0041,0.0032,-0.0033,-0.0025,-0.0003,1.0007,1.001,1.0012,0.9987,0.9992,1.0002,1.001,1.0017,1.0025,1.0007,1.001,1.0012
Incurred Loss,135-147,0.0005,0.0005,0.0004,0.0002,0.0001,0.0,0.9999,0.9999,0.9999,1.0001,1.0001,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
Incurred Loss,147-159,0.0133,0.0111,0.0103,0.0092,-0.0015,-0.0018,0.9934,0.9946,0.9982,0.9882,0.9891,0.9928,0.9924,0.9935,0.9976,0.9934,0.9946,0.9982
Incurred Loss,159-171,0.0012,0.0009,0.0009,0.001,0.0003,0.0003,1.0006,1.0005,1.0002,1.0006,1.0007,1.0,1.0006,1.0005,1.0002,1.0006,1.0005,1.0002
Incurred Loss,171-183,0.0001,0.0001,0.0001,0.0001,0.0,0.0,1.0,1.0,1.0,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incurred Loss,183-195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incurred Loss,195-207,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incurred Loss,207-219,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paid Loss,15-27,0.0832,0.1324,0.1624,-0.2522,0.1299,0.0283,2.6268,2.5402,2.5075,3.0224,3.0729,3.1215,2.8605,2.8329,2.7978,2.7834,2.7815,2.7102
Paid Loss,27-39,0.0752,0.0941,0.1068,0.1375,0.1152,0.0619,2.0086,1.994,1.9788,2.2623,2.2395,2.1582,2.1634,2.1225,2.0776,2.0107,1.9708,1.9383
Paid Loss,39-51,0.0959,0.0858,0.0904,-0.1418,0.0117,0.0062,1.4428,1.4499,1.4432,1.5215,1.5481,1.497,1.4803,1.4944,1.4482,1.4466,1.4611,1.4529
Paid Loss,51-63,0.0337,0.0516,0.0549,0.0077,0.0326,0.0148,1.1908,1.1802,1.1748,1.2651,1.2653,1.2488,1.2273,1.2282,1.2291,1.1989,1.1915,1.1851
Paid Loss,63-75,0.0733,0.0551,0.0508,-0.0665,-0.0038,0.0098,1.1143,1.1093,1.0968,1.1455,1.1434,1.1063,1.1363,1.1335,1.1145,1.1118,1.1009,1.0913
Paid Loss,75-87,0.0087,0.0139,0.0148,0.0089,0.0067,0.0036,1.0281,1.0241,1.0236,1.04,1.0403,1.0383,1.0369,1.0359,1.0387,1.0295,1.0255,1.0251
Paid Loss,87-99,0.0094,0.0108,0.0109,0.0022,0.0025,0.002,1.0142,1.0118,1.011,1.0189,1.0187,1.0156,1.0184,1.0176,1.0182,1.0149,1.0129,1.0122
Paid Loss,99-111,0.0048,0.005,0.0053,0.0005,0.0009,0.0012,1.0075,1.0062,1.0056,1.0114,1.0114,1.0091,1.0101,1.0098,1.0096,1.0075,1.0062,1.0056
Paid Loss,111-123,0.0215,0.0168,0.0159,-0.02,-0.0001,0.0004,1.011,1.0109,1.0083,1.0123,1.015,1.0048,1.0093,1.0099,1.0031,1.011,1.0109,1.0083
Paid Loss,123-135,0.0174,0.0146,0.0131,0.0147,0.0023,0.003,1.01,1.0084,1.006,1.0133,1.0113,1.0021,1.0142,1.0135,1.0119,1.01,1.0084,1.006
Paid Loss,135-147,0.0006,0.0012,0.0011,-0.0,-0.0002,0.0001,1.0006,1.0006,1.0002,1.0003,1.0004,1.0,1.0008,1.0008,1.0004,1.0006,1.0006,1.0002
Paid Loss,147-159,0.0161,0.0124,0.0113,-0.0142,-0.0001,0.0007,1.0054,1.0046,1.0,1.0098,1.0091,1.0,1.0063,1.0055,1.0,1.0054,1.0046,1.0
Paid Loss,159-171,0.0001,0.0001,0.0001,0.0001,0.0,0.0,1.0,1.0,1.0,1.0001,1.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paid Loss,171-183,0.0005,0.0004,0.0004,-0.0004,-0.0001,-0.0001,1.0002,1.0002,1.0,1.0003,1.0003,1.0,1.0002,1.0002,1.0,1.0002,1.0002,1.0
Paid Loss,183-195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paid Loss,195-207,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paid Loss,207-219,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,15-27,0.0008,0.0018,0.0015,-0.0,0.001,0.0003,1.0064,1.0066,1.0065,1.0078,1.0078,1.0083,1.0066,1.0066,1.0068,1.0058,1.0058,1.0058
Reported Count,27-39,0.0009,0.0007,0.0008,0.0007,0.0001,0.0,1.0018,1.0018,1.0017,1.0017,1.0016,1.0012,1.0017,1.0017,1.0015,1.0018,1.0017,1.0016
Reported Count,39-51,0.0002,0.0003,0.0002,-0.0001,0.0001,0.0,1.0005,1.0006,1.0005,1.0008,1.0008,1.0008,1.0006,1.0007,1.0006,1.0005,1.0005,1.0005
Reported Count,51-63,0.0001,0.0001,0.0001,0.0001,0.0,0.0,1.0002,1.0002,1.0002,1.0003,1.0003,1.0003,1.0003,1.0003,1.0003,1.0002,1.0002,1.0002
Reported Count,63-75,0.0002,0.0001,0.0001,0.0002,0.0001,0.0,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
Reported Count,75-87,0.0001,0.0001,0.0001,0.0001,0.0,0.0,1.0,1.0,1.0,1.0001,1.0001,1.0001,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,87-99,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,99-111,0.0001,0.0,0.0,0.0001,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,111-123,0.0001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,123-135,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,135-147,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,147-159,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,159-171,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,171-183,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,183-195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,195-207,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Reported Count,207-219,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
