period,age,value,measure,unit_type,source,details,prior_age,ldf,weight,interval
2001,,316377369.9688,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2002,,322704917.4,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2003,,329159015.7,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2004,,335742196.0,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2005,,342457040.0,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2006,,349306180.7,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2007,,356292304.4,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2008,,363418150.5,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2009,,370686513.5,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2010,,378100243.7,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2011,,385662248.6,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2012,,393375493.6,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2013,,401243003.4,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2014,,409267863.5,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2015,,417453220.8,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2016,,425802285.2,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2017,,434318330.9,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2018,,443004697.5,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2019,,451864791.5,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2020,,460902087.3,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2021,,470120129.1,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2022,,479522531.6,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2023,,489112982.3,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2024,,498895241.9,Exposure,Count,Exposure / ../raw-data/Triangle Examples 1.xlsx,Payroll (2% annual growth from 2001 base),,,,
2001,11,567331.6692,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2001,23,1554404.3456,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.7399,567331.6692,11-23
2001,35,1902287.8544,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.2238,1554404.3456,23-35
2001,47,2093441.1516,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1005,1902287.8544,35-47
2001,59,2250668.8524,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0751,2093441.1516,47-59
