period,measure,current_age,actual,cdf,pct_developed,ultimate_cl,ibnr_cl,ultimate_ie,ibnr_ie,ultimate_bf,ibnr_bf
2001,Closed Count,,,,,,,700.775874480892,,,
2001,Exposure,,316377369.9688,,,,,,,,
2001,Incurred Loss,287,3163773.699688,1.0,1.0,3163773.699688,0.0,3163773.699688,0.0,3163773.699688,0.0
2001,Paid Loss,287,3042294.6622760003,1.0,1.0,3042294.6622760003,0.0,3163773.699688,121479.03741199987,3042294.6622760003,0.0
2001,Reported Count,287,700.7076000000001,1.0,1.0,700.7076000000001,0.0,700.775874480892,0.0682744808918869,700.7076000000001,0.0
2002,Closed Count,,,,,,,683.1663101357999,,,
2002,Exposure,,322704917.4,,,,,,,,
2002,Incurred Loss,275,2327733.756319999,1.0,1.0,2327733.756319999,0.0,2904344.2565999995,576610.5002800003,2327733.756319999,0.0
2002,Paid Loss,275,2199646.2280880003,1.006,0.9940357852882704,2212844.1054565283,13197.87736852793,2904344.2565999995,704698.0285119992,2216968.3608311415,17322.13274314105
2002,Reported Count,275,651.8824000000001,1.0,1.0,651.8824000000001,0.0,683.1663101357999,31.28391013579983,651.8824000000001,0.0
2003,Closed Count,,,,,,,648.4432609290001,,,
2003,Exposure,,329159015.7,,,,,,,,
2003,Incurred Loss,263,1778091.5758439994,1.0,1.0,1778091.5758439994,0.0,2633272.1256,855180.5497560005,1778091.5758439994,0.0
2003,Paid Loss,263,1778091.5758439994,1.012036,0.9881071424336684,1799492.6860508577,21401.11020685825,2633272.1256,855180.5497560005,1809408.7061671515,31317.130323152127
2003,Reported Count,263,551.5928,1.0,1.0,551.5928,0.0,648.4432609290001,96.85046092900006,551.5928,0.0
2004,Closed Count,,,,,,,627.83790652,,,
2004,Exposure,,335742196.0,,,,,,,,
2004,Incurred Loss,251,1122614.7306000004,1.017,0.9832841691248771,1141699.1810202005,19084.450420199893,1678710.98,556096.2493999996,1150675.779429892,28061.048829891737
2004,Paid Loss,251,1122614.7306000004,1.018108216,0.9822138592780004,1142943.2806264868,20328.550026486395,1678710.98,556096.2493999996,1152472.5203218462,29857.789721845817
2004,Reported Count,251,642.6452,1.0,1.0,642.6452,0.0,627.83790652,-14.807293479999998,642.6452,0.0
2005,Closed Count,,,,,,,623.61426984,,,
2005,Exposure,,342457040.0,,,,,,,,
2005,Incurred Loss,239,2242149.132116,1.021068,0.9793667023156148,2289386.7300314195,47237.59791541938,1712285.2,-529863.9321160002,2277479.2223681672,35330.09025216697
2005,Paid Loss,239,2242149.132116,1.02319875708,0.9773272231621896,2294164.205169092,52015.07305309176,1712285.2,-529863.9321160002,2280971.3923382857,38822.260222285615
2005,Reported Count,239,641.3256,1.0,1.0,641.3256,0.0,623.61426984,-17.71133015999999,641.3256,0.0
2006,Closed Count,,,,,,,606.7448358759,,,
